TIME,ID CON,ID MẸ,ID BỐ ,GT,GĐ,"SỐ LIỆU
BỐ","SỐ LIỆU
MẸ","SỐ LIỆU
CON"
36W,22222071046.0,22111431096.0,22111050002.0,1.0,1,4.8,6.0,
36W,22222071048.0,22111431096.0,22111050002.0,1.0,1,4.8,6.0,
36W,22222071020.0,22111101085.0,22111050002.0,1.0,1,4.8,6.0,
36W,22222071006.0,22111101085.0,22111050002.0,1.0,1,4.8,6.0,
36W,22222071043.0,22111101085.0,22111050002.0,1.0,1,4.8,6.0,
36W,22222071026.0,22111101085.0,22111050002.0,1.0,1,4.8,6.0,
36W,22222071053.0,22111101085.0,22111050002.0,1.0,1,4.8,6.0,
36W,22222071005.0,22111101085.0,22111050002.0,1.0,1,4.8,6.0,
36W,22222071008.0,22111101085.0,22111050002.0,1.0,1,4.8,6.0,
36W,22222071045.0,22111101085.0,22111050002.0,1.0,1,4.8,6.0,
36W,22222071018.0,22111101085.0,22111050002.0,1.0,1,4.8,6.0,
36W,22222071016.0,22111101085.0,22111050002.0,1.0,1,4.8,6.0,
36W,22222071050.0,22111101085.0,22111050002.0,1.0,1,4.8,6.0,
36W,22222071030.0,22111371004.0,22111050002.0,1.0,1,4.8,1.0,
36W,22222071017.0,22111371004.0,22111050002.0,1.0,1,4.8,1.0,
36W,22222081031.0,22111371002.0,22111070012.0,1.0,1,5.5,6.0,
36W,22222081052.0,22111371002.0,22111070012.0,1.0,1,5.5,6.0,
36W,22222081039.0,22111181057.0,22111070012.0,1.0,1,5.5,4.0,
36W,22222081019.0,22111181057.0,22111070012.0,1.0,1,5.5,4.0,
36W,22222081053.0,22111181057.0,22111070012.0,1.0,1,5.5,4.0,
36W,22222081028.0,22111181057.0,22111070012.0,1.0,1,5.5,4.0,
36W,22222081067.0,22111181057.0,22111070012.0,1.0,1,5.5,4.0,
36W,22222081037.0,22111181057.0,22111070012.0,1.0,1,5.5,4.0,
36W,22222081024.0,22111431090.0,22111070012.0,1.0,1,5.5,3.0,
36W,22222081036.0,22111431090.0,22111070012.0,1.0,1,5.5,3.0,
36W,22222081003.0,22111431090.0,22111070012.0,1.0,1,5.5,3.0,
36W,22222081034.0,22111431090.0,22111070012.0,1.0,1,5.5,3.0,
36W,22222081030.0,22111301020.0,22111070012.0,1.0,1,5.5,5.0,
36W,22222081071.0,22111301020.0,22111070012.0,1.0,1,5.5,5.0,
36W,22222081043.0,22111301020.0,22111070012.0,1.0,1,5.5,5.0,
36W,22222081017.0,22111301020.0,22111070012.0,1.0,1,5.5,5.0,
36W,22222081047.0,22111501063.0,22111070012.0,1.0,1,5.5,5.0,
36W,22222081050.0,22111501063.0,22111070012.0,1.0,1,5.5,5.0,
36W,22222091015.0,22111431089.0,22111070101.0,1.0,1,5.5,6.0,
36W,22222091029.0,22111431089.0,22111070101.0,1.0,1,5.5,6.0,
36W,22222091057.0,22111431089.0,22111070101.0,1.0,1,5.5,6.0,
36W,22222091047.0,22111431089.0,22111070101.0,1.0,1,5.5,6.0,
36W,22222091064.0,22111301018.0,22111070101.0,1.0,1,5.5,7.0,
36W,22222091038.0,22111301018.0,22111070101.0,1.0,1,5.5,7.0,
36W,22222091011.0,22111301018.0,22111070101.0,1.0,1,5.5,7.0,
36W,22222091054.0,22111301018.0,22111070101.0,1.0,1,5.5,7.0,
36W,22222091042.0,22111301018.0,22111070101.0,1.0,1,5.5,7.0,
36W,22222101073.0,22111301015.0,22111080028.0,1.0,1,4.9,5.0,
36W,22222101011.0,22111301015.0,22111080028.0,1.0,1,4.9,5.0,
36W,22222101016.0,22111141015.0,22111080028.0,1.0,1,4.9,5.0,
36W,22222101064.0,22111141015.0,22111080028.0,1.0,1,4.9,5.0,
36W,22222101045.0,22111141015.0,22111080028.0,1.0,1,4.9,5.0,
36W,22222101056.0,22111181055.0,22111080028.0,1.0,1,4.9,7.0,
36W,22222101058.0,22111181055.0,22111080028.0,1.0,1,4.9,7.0,
36W,22222101017.0,22111181055.0,22111080028.0,1.0,1,4.9,7.0,
36W,22222111025.0,22111431026.0,22111080036.0,1.0,1,4.9,4.0,
36W,22222121028.0,22111061012.0,22111080079.0,1.0,1,4.9,,
36W,22222121037.0,22111061012.0,22111080079.0,1.0,1,4.9,,
36W,22222121048.0,22111061012.0,22111080079.0,1.0,1,4.9,,
36W,22222121057.0,22111061012.0,22111080079.0,1.0,1,4.9,,
36W,22222121041.0,22111061012.0,22111080079.0,1.0,1,4.9,,
36W,22222121064.0,22111091066.0,22111080079.0,1.0,1,4.9,,
36W,22222121042.0,22111091066.0,22111080079.0,1.0,1,4.9,,
36W,22222121043.0,22111181049.0,22111080079.0,1.0,1,4.9,3.0,
36W,22222121013.0,22111181049.0,22111080079.0,1.0,1,4.9,3.0,
36W,22222121020.0,22111181049.0,22111080079.0,1.0,1,4.9,3.0,
36W,22222121032.0,22111181049.0,22111080079.0,1.0,1,4.9,3.0,
36W,22222121001.0,22111181049.0,22111080079.0,1.0,1,4.9,3.0,
36W,22222131005.0,22111431019.0,22111080051.0,1.0,1,4.9,5.0,
36W,22222131044.0,22111431019.0,22111080051.0,1.0,1,4.9,5.0,
36W,22222131014.0,22111501039.0,22111080051.0,1.0,1,4.9,2.0,
36W,22222131020.0,22111501039.0,22111080051.0,1.0,1,4.9,2.0,
36W,22222141045.0,22111431018.0,22111090044.0,1.0,1,5.0,7.0,
36W,22222141031.0,22111431018.0,22111090044.0,1.0,1,5.0,7.0,
36W,22222141033.0,22111431018.0,22111090044.0,1.0,1,5.0,7.0,
36W,22222141016.0,22111431018.0,22111090044.0,1.0,1,5.0,7.0,
36W,22222141039.0,22111431018.0,22111090044.0,1.0,1,5.0,7.0,
36W,22222141048.0,22111131082.0,22111090044.0,1.0,1,5.0,5.0,
36W,22222141009.0,22111131082.0,22111090044.0,1.0,1,5.0,5.0,
36W,22222141061.0,22111051092.0,22111090044.0,1.0,1,5.0,,
36W,22222141043.0,22111051092.0,22111090044.0,1.0,1,5.0,,
36W,22222151012.0,22111181040.0,22111090021.0,1.0,1,5.0,7.0,
36W,22222151001.0,22111181040.0,22111090021.0,1.0,1,5.0,7.0,
36W,22222151011.0,22111181040.0,22111090021.0,1.0,1,5.0,7.0,
36W,22222151024.0,22111181040.0,22111090021.0,1.0,1,5.0,7.0,
36W,22222151037.0,22111181040.0,22111090021.0,1.0,1,5.0,7.0,
36W,22222151050.0,22111051085.0,22111090021.0,1.0,1,5.0,,
36W,22222151027.0,22111501024.0,22111090021.0,1.0,1,5.0,7.0,
36W,22222151009.0,22111251002.0,22111090021.0,1.0,1,5.0,5.0,
36W,22222151025.0,22111251002.0,22111090021.0,1.0,1,5.0,5.0,
36W,22222151014.0,22111251002.0,22111090021.0,1.0,1,5.0,5.0,
36W,22222161026.0,22111091056.0,22111110056.0,1.0,1,5.9,6.0,
36W,22222161014.0,22111091056.0,22111110056.0,1.0,1,5.9,6.0,
36W,22222161016.0,22111091056.0,22111110056.0,1.0,1,5.9,6.0,
36W,22222161024.0,22111091056.0,22111110056.0,1.0,1,5.9,6.0,
36W,22222161007.0,22111091056.0,22111110056.0,1.0,1,5.9,6.0,
36W,22222161045.0,22111091056.0,22111110056.0,1.0,1,5.9,6.0,
36W,22222161043.0,22111091056.0,22111110056.0,1.0,1,5.9,6.0,
36W,22222161011.0,22111091056.0,22111110056.0,1.0,1,5.9,6.0,
36W,22222161051.0,22111091056.0,22111110056.0,1.0,1,5.9,6.0,
36W,22222161042.0,22111091056.0,22111110056.0,1.0,1,5.9,6.0,
36W,22222161004.0,22111291096.0,22111110056.0,1.0,1,5.9,5.0,
36W,22222161056.0,22111291096.0,22111110056.0,1.0,1,5.9,5.0,
36W,22222161002.0,22111291096.0,22111110056.0,1.0,1,5.9,5.0,
36W,22222161039.0,22111241036.0,22111110056.0,1.0,1,5.9,7.0,
36W,22222161037.0,22111241036.0,22111110056.0,1.0,1,5.9,7.0,
36W,22222171023.0,22111091055.0,22111110067.0,1.0,1,5.9,1.0,
36W,22222171013.0,22111091055.0,22111110067.0,1.0,1,5.9,1.0,
36W,22222171034.0,22111131062.0,22111110067.0,1.0,1,5.9,6.0,
36W,22222171047.0,22111421032.0,22111110067.0,1.0,1,5.9,5.0,
36W,22222171036.0,22111501008.0,22111110067.0,1.0,1,5.9,4.0,
36W,22222171052.0,22111501008.0,22111110067.0,1.0,1,5.9,4.0,
36W,22222171016.0,22111051076.0,22111110067.0,1.0,1,5.9,5.0,
36W,22222171017.0,22111051076.0,22111110067.0,1.0,1,5.9,5.0,
36W,22222181074.0,22111291092.0,22111120075.0,1.0,1,4.7,6.0,
36W,22222181041.0,22111051075.0,22111120075.0,1.0,1,4.7,5.0,
36W,22222181017.0,22111051075.0,22111120075.0,1.0,1,4.7,5.0,
36W,22222181043.0,22111051075.0,22111120075.0,1.0,1,4.7,5.0,
36W,22222181049.0,22111241004.0,22111120075.0,1.0,1,4.7,5.0,
